time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.0902069904e-08,-6.93101592559e-08,10.0028705572,6.28288096256,6.28298095394,0.0,1.23133914867e-05,-1.5034864874e-05,0.0956812878673,-0.0178825632725,-0.0112780467108,0.0,436.52991591307074,435.5880258529013,435.74334153709145,434.2461943732432
0.12000000000000001,7.42885943998e-06,-1.00614075595e-05,10.0107298193,6.28248028548,6.28214938706,0.0,0.000305365698804,-0.000383891012765,0.166285791457,0.00948840137914,-0.0195990452819,0.0,427.9610897197743,427.25246907484785,426.2006022637803,428.533209962519
0.18,5.24233552976e-05,-4.56754293816e-05,10.0243119653,3.56246803239e-05,6.28095282891,0.0,0.00131896299256,-0.000733896007074,0.286429059359,0.0175181246809,-0.0206387659872,0.0,443.4298213903415,443.34444568830565,442.8583448391595,443.51809705108934
0.23999999999999996,0.000189016072746,-8.2956600614e-05,10.0471467891,0.00194414093997,6.2795992084,0.0,0.00338276434082,-0.00032776259932,0.474671378898,0.051028241545,-0.0267102529741,0.0,464.7055309043821,464.2294292726616,462.54980524239215,465.1811570522117
0.3,0.000485073681549,-4.20884694656e-05,10.081941336,0.00528343512148,6.27762061961,0.0,0.00669196920529,0.00207010816008,0.685042107753,0.0635899395201,-0.0500421125369,0.0,472.05701609448886,470.2529541961843,470.1335470547908,471.1075709115375
0.36000000000000004,0.00101547625785,0.000209604602632,10.1266376005,0.00928882454866,6.27543784923,0.0,0.0112505582555,0.00673016349633,0.804751830592,0.0724347198988,-0.017749799013,0.0,441.69227576796214,444.3462386092022,443.8523585951138,444.5808565752476
0.4200000000000001,0.00185005202378,0.000816800460585,10.177361706,0.0130796022931,6.27451808093,0.0,0.0166662339227,0.0139284888247,0.885986460763,0.028855794019,-0.0108820813104,0.0,430.62442053272247,431.2049836859247,434.11454801730446,430.44536900913994
0.48000000000000015,0.00301741508976,0.00190856624247,10.2319634664,0.0149205027377,6.27331281836,0.0,0.022318555739,0.0226318376122,0.934030794997,0.0341033195828,-0.0539574374716,0.0,422.43500373839663,418.70428162181213,421.06517437423037,421.5192121705117
0.5400000000000001,0.0046168858092,0.00364934329372,10.2952814126,0.017772662126,6.27059592824,0.0,0.0313563103658,0.0357024368132,1.17634069649,0.065945545945,-0.0319648923566,0.0,480.3526383081132,482.01616563190316,479.35401044933764,481.768420087885
0.6000000000000002,0.00680134510692,0.00622456756349,10.371605929,0.0217092660375,6.26850405029,0.0,0.0416869960002,0.0505902490858,1.36758837099,0.0649308550027,-0.0414054431258,0.0,465.6288638055712,464.8893337613196,467.5559100156721,467.47981157628044
0.6600000000000003,0.00958136261096,0.00967283476592,10.4544063547,0.0256185810421,6.26577722125,0.0,0.0512151487478,0.0647057698541,1.39238323748,0.0656000880279,-0.0550876531959,0.0,414.84195909959635,413.63747646802614,414.39842684114745,414.4607123510027
0.7200000000000003,0.0130387072063,0.0141175751262,10.541635903,0.0294525147877,6.26277324639,0.0,0.0643576607272,0.0838573957538,1.51509520374,0.0602606251619,-0.0415531858099,0.0,445.3280495798516,446.4320338857744,446.5099221604103,446.077110062668
0.7800000000000004,0.0172997134705,0.0197252285795,10.6340116417,0.0327706916824,6.26005307722,0.0,0.0779193690943,0.103391767623,1.56401338296,0.0428726863166,-0.0542408656098,0.0,423.4568859283388,422.362781012,423.51950229033065,422.02362034960163
0.8400000000000004,0.0224879994952,0.0266473486377,10.7317983382,0.0355473756376,6.25670966037,0.0,0.0953706465882,0.12762465417,1.69533708176,0.0523399199223,-0.0588661408396,0.0,448.5618792010358,448.18406398100853,449.8850426008504,450.6521026396859
0.9000000000000005,0.0287314295374,0.0349985490729,10.8350613889,0.0384387181689,6.25274297605,0.0,0.113090536882,0.151032440183,1.74666451266,0.0382317754652,-0.0873559791191,0.0,425.4095388947745,422.9593104644934,424.9863145940696,423.7769365104099
0.9600000000000005,0.0362357160639,0.0449503887605,10.9451003056,0.0404810472558,6.2481874812,0.0,0.137589857839,0.180930154953,1.92099145175,0.0239566844663,-0.0595274815785,0.0,461.6768542599184,463.86255046677184,464.0204640967246,462.898972453048
1.0200000000000005,0.0452500566618,0.0566724697696,11.0639625247,0.0418352155142,6.24432549895,0.0,0.163268034606,0.2099423816,2.0408513935,0.0196400785996,-0.0764153101316,0.0,447.6074729086508,446.2279560411501,447.4356661212962,447.08415176192335
1.0800000000000005,0.0558867511267,0.0701583097086,11.189901587,0.0431996392052,6.2396553358,0.0,0.191762486169,0.239707801415,2.1568745619,0.0283135002688,-0.0808388256516,0.0,446.97199143265243,446.6065640643669,445.6461339685166,446.35452741931243
1.1400000000000006,0.0683345342149,0.0854619155207,11.322833838,0.0448139999852,6.23447277114,0.0,0.223673934477,0.27057316574,2.27393637105,0.0239314457554,-0.10074289666,0.0,447.25680410364373,445.62649311553054,448.229554867672,447.87346579391385
1.2000000000000006,0.0828227591468,0.102660987733,11.4630156676,0.0465747248337,6.22863223535,0.0,0.259880545549,0.30288500188,2.39848929123,0.0384219801328,-0.0912904630953,0.0,449.8060076373758,450.5627928701677,449.5318635242507,450.70473719886235
1.2600000000000007,0.0996028977948,0.1218360887,11.6106040049,0.0485579252497,6.22330480615,0.0,0.300010119001,0.336497869051,2.52080576168,0.0192580461422,-0.0842114403148,0.0,450.1635617006019,450.72953420558815,450.5411691417159,448.989506717205
